# MJD-OBS = 58321.270984
# DATE-OBS = 2018-07-22T06:30:13
# EXPTIME = 620.000000
# AIRMASS = 1.687
# TELESCOPE = UH88
# INSTRUMENT = SNIFS
5.684060e+03 9.587950e-17 1.920093e-17
5.686060e+03 8.447392e-17 1.890188e-17
5.688060e+03 8.223262e-17 1.883377e-17
5.690060e+03 9.166901e-17 1.905761e-17
5.692060e+03 1.032879e-16 1.921306e-17
5.694060e+03 1.047705e-16 1.920288e-17
5.696060e+03 9.724695e-17 1.904747e-17
5.698060e+03 8.711888e-17 1.887534e-17
5.700060e+03 1.047483e-16 1.908943e-17
5.702060e+03 1.358408e-16 1.948131e-17
5.704060e+03 1.383105e-16 1.941643e-17
5.706060e+03 1.221160e-16 1.908349e-17
5.708060e+03 1.003974e-16 1.871317e-17
5.710060e+03 9.170365e-17 1.868771e-17
5.712060e+03 8.699313e-17 1.854525e-17
5.714060e+03 8.569582e-17 1.843321e-17
5.716060e+03 8.966949e-17 1.850239e-17
5.718060e+03 1.045348e-16 1.868590e-17
5.720060e+03 1.173629e-16 1.883582e-17
5.722060e+03 1.218161e-16 1.887517e-17
5.724060e+03 1.155701e-16 1.880421e-17
5.726060e+03 1.027654e-16 1.868249e-17
5.728060e+03 8.282333e-17 1.851047e-17
5.730060e+03 6.421328e-17 1.813697e-17
5.732060e+03 5.456200e-17 1.784775e-17
5.734060e+03 5.470535e-17 1.766895e-17
5.736060e+03 7.573392e-17 1.799099e-17
5.738060e+03 9.636678e-17 1.824048e-17
5.740060e+03 1.140334e-16 1.839993e-17
5.742060e+03 1.064040e-16 1.824460e-17
5.744060e+03 1.006949e-16 1.810099e-17
5.746060e+03 9.687074e-17 1.800368e-17
5.748060e+03 9.687747e-17 1.810583e-17
5.750060e+03 8.427805e-17 1.792604e-17
5.752060e+03 7.319560e-17 1.771493e-17
5.754060e+03 8.463867e-17 1.779519e-17
5.756060e+03 7.691591e-17 1.765003e-17
5.758060e+03 7.287745e-17 1.755672e-17
5.760060e+03 9.027952e-17 1.773499e-17
5.762060e+03 1.013894e-16 1.782523e-17
5.764060e+03 1.067639e-16 1.783666e-17
5.766060e+03 1.045768e-16 1.774470e-17
5.768060e+03 9.983287e-17 1.765152e-17
5.770060e+03 9.888918e-17 1.763881e-17
5.772060e+03 1.030005e-16 1.772662e-17
5.774060e+03 8.946297e-17 1.750758e-17
5.776060e+03 8.462577e-17 1.742846e-17
5.778060e+03 8.890104e-17 1.748720e-17
